Complex_Number,Street,City,Addr_State,Manager
71113,87148,Bakersfield,CA,312-80-6880
0292,9,Springfield,MO,511-74-2376
70564,8798,Brooklyn,NY,187-08-4317
3,5739,Lubbock,TX,110-76-1463
2574,535,Columbus,GA,752-04-8263
21,005,Sacramento,CA,637-67-2834
53,7785,New Orleans,LA,672-94-4519
55,6635,Brooksville,FL,648-02-6204
8162,7562,Pittsburgh,PA,163-44-5064
0,38939,Birmingham,AL,429-50-6905
7523,2,San Antonio,TX,202-89-3658
55808,164,Bowie,MD,637-86-9330
98279,1,Trenton,NJ,679-26-3029
8796,836,Lees Summit,MO,421-94-3800
5,27,Seattle,WA,817-58-3723
4,164,Fresno,CA,112-73-2636
90410,33073,Washington,DC,895-43-7322
97034,0,Norman,OK,799-24-0221
2,08,Norwalk,CT,187-08-4317
405,426,Birmingham,AL,812-82-3684
3,76152,Lubbock,TX,517-99-8314
3167,35,Dallas,TX,679-89-1721
39976,68489,New York City,NY,110-76-1463
07152,442,Wilmington,DE,586-95-2260
3467,9,Springfield,MO,146-84-0535
54,9,Clearwater,FL,163-44-5064
3,7755,Newport Beach,CA,895-21-3853
8,8,Fort Lauderdale,FL,360-89-3402
7977,6,Danbury,CT,619-76-7492
05,01,Pensacola,FL,895-43-7322
78551,87229,Danbury,CT,411-18-1545
4364,07021,Washington,DC,266-68-7171
573,37002,Tallahassee,FL,360-89-3402
692,4,Juneau,AK,288-01-9012
8,9310,Greenville,SC,340-17-4745
00,8,Pittsburgh,PA,227-75-0622
453,5,Falls Church,VA,682-45-0583
84923,6,Staten Island,NY,682-45-0583
16,372,Louisville,KY,114-04-2624
12,9,Albany,NY,532-06-6242
9,6,Omaha,NE,770-81-3154
58215,0,Chicago,IL,277-26-1542
783,59,Charlotte,NC,209-88-9230
67,4444,Jacksonville,FL,672-94-4519
3,426,Boston,MA,584-68-7772
99,4562,Tucson,AZ,770-41-7089
8137,39614,Ocala,FL,819-12-8723
48611,89,Chico,CA,650-64-3562
576,91,Palatine,IL,637-86-9330
9,07767,Winter Haven,FL,199-68-3962
33,7467,Sioux Falls,SD,353-10-2786
0,1,Mobile,AL,820-81-4463
24,8280,Shreveport,LA,682-45-0583
41456,575,Arlington,TX,586-95-2260
8,32,Louisville,KY,650-06-7134
572,09,Los Angeles,CA,202-89-3658
86,23935,Amarillo,TX,770-81-3154
958,726,Phoenix,AZ,504-71-8143
7232,62754,Fresno,CA,187-08-4317
8175,41925,Athens,GA,353-10-2786
0572,0,Olympia,WA,332-92-3683
6,0,Miami,FL,799-24-0221
20974,548,Anchorage,AK,586-95-2260
40731,16,Seattle,WA,819-12-8723
85,33,San Diego,CA,392-63-9984
2,7,Dayton,OH,340-17-4745
61,5063,Jamaica,NY,637-86-9330
269,4,Albuquerque,NM,585-02-0291
4,81,High Point,NC,411-18-1545
2950,3105,Dallas,TX,323-17-0025
654,34703,Hartford,CT,549-53-6105
84,3,Dallas,TX,312-80-6880
3,8022,Pittsburgh,PA,664-76-8553
67,30366,Charleston,WV,146-84-0535
69,316,Sioux Falls,SD,316-03-1176
132,59104,San Antonio,TX,185-57-4572
35873,5982,Jacksonville,FL,752-04-8263
7205,12811,Philadelphia,PA,619-07-0485
66,70223,Saint Louis,MO,770-81-3154
5175,46,Cleveland,OH,340-17-4745
45,794,Colorado Springs,CO,532-06-6242
08666,00,New Orleans,LA,679-26-3029
9097,9,Palatine,IL,401-38-8660
3353,47,Erie,PA,146-84-0535
425,0,Shawnee Mission,KS,584-68-7772
5648,1,Raleigh,NC,896-02-0417
39822,3,Kansas City,MO,202-89-3658
0091,9,Champaign,IL,312-80-6880
6123,6,Kingsport,TN,619-07-0485
2,4,Charlotte,NC,679-89-1721
2490,8,San Antonio,TX,110-76-1463
016,365,Detroit,MI,825-66-5927
5,64,New York City,NY,648-76-0134
923,4,Richmond,VA,895-21-3853
8,35484,Portland,OR,429-50-6905
19625,079,Atlanta,GA,401-38-8660
9251,17623,Monticello,MN,563-11-6530
4049,06258,Cleveland,OH,563-11-6530
94,1223,Spartanburg,SC,409-73-0210
6192,8,Springfield,IL,202-89-3658
937,85718,Dallas,TX,584-68-7772
741,923,Los Angeles,CA,277-26-1542
03001,20,Houston,TX,603-21-5708
78,3,Cedar Rapids,IA,895-21-3853
7,02398,Philadelphia,PA,401-38-8660
395,687,Fort Lauderdale,FL,552-57-5566
2910,63470,Atlanta,GA,679-26-3029
2830,3,Fort Wayne,IN,422-92-8431
55,5825,Pittsburgh,PA,373-07-9527
1402,4795,Mobile,AL,209-88-9230
7,05227,Melbourne,FL,439-88-0725
