ESSN,Salary,Name
050867372,62396,Vin Fahy
467266004,62338,Tanitansy Babidge
191211114,62263,Durward Kann
024201970,62180,Monro Jermey
829980142,62168,Ashlen Anfosso
781454705,61766,Phylys Burberow
815726590,61678,Louie Meeke
704105518,61386,Ricki Pechan
080742284,60958,Rosalynd Gabites
205290035,60490,Hewitt Synke
668270775,59980,Dewitt Bridges
296992370,59895,Maritsa Stienham
560796588,59022,Estrellita Parvin
373931218,58626,Andrei Byrne
353369150,58617,Gardner Kernaghan
548757046,58560,Dayle Eglinton
063955285,58115,Quinlan Cluelow
695902413,57782,Waylin Davy
122719874,57756,Melisandra Ryson
416967805,57521,Errick Brosi
453912385,57466,Grannie Barendtsen
872892636,57380,Jerrome Cottesford
519676992,56884,Juana Lipprose
766998736,56764,Jareb Seebright
835689891,56551,Manolo McAnalley
748101689,56466,Eziechiele Gwinnel
507893929,56432,Aldrich Hatt
759079203,56157,Steffie Jados
609891716,55971,Jenica Balloch
458328064,55825,Sloane Swaton
167030816,55479,Brear McAndrew
107752947,54998,Montague Chapier
172358162,54957,Francisco Morrissey
656545397,54577,Hebert Kybird
350678330,54564,Cristionna Corkell
758483887,54435,Evangelin Blick
487594977,54421,Marylee Standon
223288329,54402,Cathryn Edinboro
268722482,54313,Easter Spiaggia
180222001,54113,Peggy Stride
857186149,53231,Locke Chong
678034287,52990,Wendel Kopf
767593191,52735,Hurlee Ivashinnikov
880262259,52521,Raine Masding
261577439,52486,Katherina Karpf
010295870,52352,Cami Huyhton
705539383,51993,Noemi Morgen
297324845,51851,Claus Stainer
091086844,51748,Reinold Reddy
373420299,51344,Sergeant Lawdham
836168957,51278,Antoinette Veque
527349399,51084,Giulio Ruberry
017932075,51083,Creigh Casswell
614954133,50349,Xymenes Wallington
143398286,49492,Clemence Gilliland
715421465,49420,Minna Aistrop
682301030,49389,Oralle Bartaloni
675036576,49324,Ethe Costi
555276295,49011,Emlen Scurr
135124776,48759,Britta McMoyer
747015373,48226,Drusilla Bygraves
067956716,47973,Erv Clawley
841035960,47539,Dinnie Reubbens
427566287,47036,Rudyard Lafont
727584368,46864,Hervey Dunckley
591072840,46691,Mirabel Farland
178645307,46663,Jsandye Whitelaw
537819053,46646,Joey Pechold
741282566,46168,Timmie Yurov
085422737,45627,Adrian Foffano
017782702,44429,Waverley Tansey
217655451,43958,Nicholas Klosterman
147895284,43716,Rea Hazley
788164308,42983,Biron Threadgold
262188816,42907,Ebenezer Yglesia
623587934,42876,Hercule Poznanski
075291200,42752,Lida Petrecz
308664830,42727,Marlo Chisnall
229287629,42500,Morris Shilladay
835934989,42063,Fredelia Gunningham
384129797,41987,Larine Grellier
404953493,40975,Ingram Mackro
086577907,40969,Homerus Shills
552087613,40551,Abe Gouldthorpe
571039777,40465,Ashley Surridge
494630069,40406,Faith Merrywether
197653367,39922,Lu Jopke
522809926,39814,Herschel Ashbrook
353614429,39785,Freida Prichet
355900848,39544,Emmey Spradbery
232532913,39524,Conny Joskovitch
511483133,39126,Torey Drews
360871363,39051,Rosanna Maus
648905395,38915,Rea Jamson
891485156,38640,Fawnia Gullivent
881066984,38267,Lynette Akram
579792008,38200,Amy Soloway
825811133,38138,Katuscha Skalls
563869853,38112,Mathilda Vardon
348748770,37845,Jeni Malley
