ESSN,Project_ID,Complex_Number
836-16-8957,78,241
678-03-4287,16,138
656-54-5397,89,143
223-28-8329,47,275
427-56-6287,50,216
107-75-2947,12,157
178-64-5307,62,141
522-80-9926,32,268
494-63-0069,60,113
348-74-8770,21,173
017-93-2075,24,242
091-08-6844,13,264
758-48-3887,9,156
835-93-4989,70,199
373-93-1218,42,173
297-32-4845,76,215
050-86-7372,86,141
122-71-9874,59,259
135-12-4776,91,135
024-20-1970,23,228
511-48-3133,73,198
748-10-1689,27,175
835-68-9891,97,110
384-12-9797,1,173
404-95-3493,15,223
563-86-9853,83,190
829-98-0142,49,187
741-28-2566,90,197
067-95-6716,40,172
063-95-5285,26,215
527-34-9399,51,164
360-87-1363,8,259
668-27-0775,98,289
416-96-7805,31,253
614-95-4133,56,105
167-03-0816,34,280
682-30-1030,14,198
507-89-3929,69,110
085-42-2737,29,278
537-81-9053,48,261
648-90-5395,74,216
872-89-2636,46,248
571-03-9777,38,290
552-08-7613,5,121
191-21-1114,53,146
815-72-6590,3,226
487-59-4977,22,205
458-32-8064,75,288
010-29-5870,17,200
781-45-4705,35,186
373-42-0299,6,296
172-35-8162,63,128
715-42-1465,30,207
841-03-5960,58,111
075-29-1200,4,252
767-59-3191,18,289
143-39-8286,45,120
548-75-7046,66,214
591-07-2840,39,121
579-79-2008,88,211
857-18-6149,33,292
353-61-4429,2,120
766-99-8736,36,120
147-89-5284,94,117
519-67-6992,41,275
453-91-2385,93,134
017-78-2702,95,268
560-79-6588,25,235
675-03-6576,77,240
296-99-2370,100,231
788-16-4308,7,273
308-66-4830,99,162
727-58-4368,84,278
825-81-1133,55,136
262-18-8816,87,281
355-90-0848,72,269
891-48-5156,61,299
623-58-7934,92,270
080-74-2284,37,131
704-10-5518,68,107
205-29-0035,54,293
759-07-9203,43,195
217-65-5451,28,236
229-28-7629,81,140
197-65-3367,44,192
555-27-6295,20,161
467-26-6004,67,282
086-57-7907,82,102
609-89-1716,10,208
261-57-7439,79,298
268-72-2482,85,103
705-53-9383,96,134
353-36-9150,71,148
350-67-8330,57,283
747-01-5373,64,197
180-22-2001,65,240
880-26-2259,11,272
881-06-6984,80,172
232-53-2913,19,146
695-90-2413,52,143
