ESSN,Complex_Number
548-75-7046,134
781-45-4705,120
353-36-9150,296
268-72-2482,128
178-64-5307,205
715-42-1465,157
591-07-2840,107
507-89-3929,240
829-98-0142,110
262-18-8816,131
050-86-7372,289
748-10-1689,162
695-90-2413,121
122-71-9874,273
143-39-8286,190
010-29-5870,146
836-16-8957,141
788-16-4308,195
682-30-1030,117
180-22-2001,215
086-57-7907,242
355-90-0848,172
135-12-4776,236
416-96-7805,252
560-79-6588,264
705-53-9383,270
835-68-9891,280
360-87-1363,103
614-95-4133,110
678-03-4287,298
857-18-6149,173
494-63-0069,148
704-10-5518,186
350-67-8330,228
487-59-4977,259
825-81-1133,208
841-03-5960,134
835-93-4989,216
017-78-2702,269
648-90-5395,113
815-72-6590,102
766-99-8736,214
623-58-7934,268
458-32-8064,161
297-32-4845,120
067-95-6716,187
668-27-0775,197
308-66-4830,289
353-61-4429,135
147-89-5284,278
727-58-4368,175
563-86-9853,105
555-27-6295,173
758-48-3887,272
571-03-9777,282
024-20-1970,120
872-89-2636,211
205-29-0035,281
404-95-3493,299
075-29-1200,199
747-01-5373,283
217-65-5451,278
080-74-2284,143
197-65-3367,235
767-59-3191,138
609-89-1716,268
229-28-7629,146
223-28-8329,226
519-67-6992,164
384-12-9797,111
167-03-0816,231
017-93-2075,197
232-53-2913,216
741-28-2566,290
453-91-2385,136
373-42-0299,288
511-48-3133,172
522-80-9926,241
296-99-2370,198
891-48-5156,293
880-26-2259,261
427-56-6287,215
881-06-6984,292
373-93-1218,275
172-35-8162,207
085-42-2737,173
261-57-7439,143
191-21-1114,121
527-34-9399,140
759-07-9203,223
467-26-6004,248
348-74-8770,240
537-81-9053,259
579-79-2008,275
675-03-6576,141
552-08-7613,192
063-95-5285,253
656-54-5397,198
091-08-6844,200
107-75-2947,156
