RSSN,Project_ID,Complex_Number
290-06-8942,67,281
781-47-0929,6,270
517-59-1438,37,110
671-41-6422,48,290
713-53-2535,50,113
803-78-5536,71,143
529-22-6130,51,269
599-50-9362,41,128
257-28-6822,60,240
340-48-1650,55,272
858-07-7268,36,140
567-55-2622,73,162
531-26-6169,63,298
433-02-9762,22,120
160-93-2209,18,105
487-69-8860,2,148
450-15-7579,97,172
083-90-7003,72,299
259-09-6368,98,240
570-82-6664,42,187
428-35-7325,68,197
374-03-9777,32,259
859-16-8069,44,275
377-01-7691,66,288
493-36-1775,69,215
294-97-1513,31,273
852-75-2000,35,275
423-30-6225,9,102
367-89-6678,8,146
275-41-9971,96,216
895-82-1421,87,198
614-80-4271,45,235
223-58-0179,25,283
332-12-4189,58,131
896-30-8565,57,259
536-69-1805,24,268
610-80-4811,92,282
408-65-6783,17,278
584-35-9550,11,289
361-36-7651,81,205
490-43-8038,47,195
889-52-7078,15,207
178-93-5774,95,216
785-80-0007,70,134
724-98-8603,14,110
321-08-2310,43,289
335-79-6033,99,197
453-29-2541,26,296
798-44-6604,12,248
385-85-5160,59,211
229-77-3607,89,135
450-97-5848,80,173
554-18-7550,23,117
495-07-5375,83,172
838-36-0259,40,214
092-63-9551,34,242
779-39-4225,85,192
402-81-0151,77,223
435-80-9172,28,293
281-10-1909,19,134
636-85-7460,29,228
129-59-4035,54,280
661-65-8284,53,278
023-05-7316,78,138
517-91-6555,13,120
827-13-6931,82,120
644-66-0029,61,264
597-96-8507,91,121
438-19-2352,52,143
228-34-7064,5,136
286-74-6830,30,146
322-06-7066,3,103
676-95-0665,76,190
679-51-0342,74,268
397-05-3885,46,236
688-18-8705,21,156
660-62-8697,4,107
480-68-5917,79,208
693-03-3058,100,121
346-03-9423,1,161
768-19-6902,10,157
293-11-5694,65,253
312-06-2339,20,200
562-32-9161,62,141
187-86-7908,93,292
523-71-3121,39,141
147-77-4224,49,173
835-54-3181,90,226
816-26-9106,88,252
518-14-6421,84,175
248-69-9831,56,199
449-43-6891,86,198
785-73-7908,16,215
192-34-4875,33,164
856-30-9397,75,261
195-81-5158,94,186
569-50-3146,27,111
207-85-4981,38,241
189-96-8569,64,231
439-61-8829,7,173
