RSSN,Credit_Score,Name,Complex_Number,Room_Number
192-34-4875,304,Fin Carme,215,66
554-18-7550,530,Ritchie Haldon,259,83
402-81-0151,618,Fidela Huntingford,157,54
660-62-8697,414,Lou Mossom,121,8
189-96-8569,338,Julina Coghlin,280,25
610-80-4811,674,Goldina Minter,121,100
023-05-7316,705,Zed Dowtry,187,60
856-30-9397,401,Jammal Rizzini,214,74
531-26-6169,751,Gail Pyer,103,68
693-03-3058,317,Andria Pina,146,15
584-35-9550,605,Zared Nightingale,146,29
178-93-5774,331,Jamill Wheowall,288,41
332-12-4189,657,Tallou Hinckes,268,79
785-80-0007,725,Moe Cushe,269,51
490-43-8038,787,Clem Jaffa,110,93
724-98-8603,560,Rodolphe Highway,141,78
450-15-7579,391,Paxton Curtois,241,44
083-90-7003,357,Cortney O'Shaughnessy,134,90
644-66-0029,577,Tyson Wadlow,223,63
377-01-7691,547,Tammara Eddowes,252,95
518-14-6421,644,Jarad Ehrat,173,17
293-11-5694,705,Jody Pridgeon,215,82
838-36-0259,536,Gerti Bittany,216,42
435-80-9172,649,Tuck Weatherley,235,67
438-19-2352,404,Rube Loyd,172,94
312-06-2339,728,Shel Haithwaite,242,84
816-26-9106,730,Zackariah Turbefield,110,73
275-41-9971,331,Rossy Walch,156,18
517-59-1438,654,Trevor Parkisson,261,3
895-82-1421,570,Joly Cutchey,140,33
523-71-3121,371,Aurea Petow,275,71
859-16-8069,764,Barbie Tring,273,46
480-68-5917,331,Hewitt Mirralls,102,23
781-47-0929,609,Devina Muttitt,264,35
385-85-5160,746,Gracia Paddingdon,289,72
346-03-9423,354,Alisander Hadgkiss,117,43
286-74-6830,713,Jarrid Gaywood,164,10
597-96-8507,558,Debi Jayes,259,98
195-81-5158,643,Krissy Tyndall,298,49
294-97-1513,698,Latrina Hiddersley,107,55
257-28-6822,744,Gallagher Gauge,278,64
567-55-2622,326,Haily Habbes,198,2
335-79-6033,506,Winifield Rofe,120,14
529-22-6130,450,Chanda Offiler,240,89
599-50-9362,547,Sergeant Kail,268,9
322-06-7066,606,Constantine Keiley,248,87
449-43-6891,848,Sandi Cotterill,128,92
671-41-6422,724,Khalil Mellody,275,7
160-93-2209,665,Guenna Wilby,161,30
679-51-0342,641,Esma Bidnall,278,96
248-69-9831,748,Thaddus Coltherd,296,77
487-69-8860,389,Lutero Mansion,200,11
229-77-3607,585,Alejandrina Geockle,175,47
661-65-8284,303,Luce Thorrold,207,50
889-52-7078,368,Consuela Chesters,192,70
779-39-4225,501,Ketti D'Abbot-Doyle,172,61
374-03-9777,433,Kylila MacWilliam,253,5
259-09-6368,417,Ronni Hefner,173,28
223-58-0179,435,Lynn Dalliwatr,226,99
827-13-6931,715,Mendy Sherrin,292,20
228-34-7064,484,Caterina Rangeley,162,86
367-89-6678,499,Jon Achromov,240,12
858-07-7268,813,Devi Cripin,190,57
281-10-1909,538,Dilan Redwing,208,59
768-19-6902,780,Goddart Collough,198,65
361-36-7651,813,Hilliary Sunter,141,40
428-35-7325,302,Ogden Heathcote,289,32
187-86-7908,794,Urbain Leathley,131,81
798-44-6604,477,Dodie Gilling,120,22
397-05-3885,514,Vera Londer,211,27
713-53-2535,394,Austina Gosz,197,69
493-36-1775,420,Dur Denty,270,34
408-65-6783,766,Quinlan Grieves,228,80
803-78-5536,409,Alphonse McKeurton,199,38
340-48-1650,346,Hughie Huot,113,85
517-91-6555,824,Nolly Nesfield,290,52
290-06-8942,350,Cyb Blaase,138,97
562-32-9161,364,Neilla Rubinov,293,45
495-07-5375,661,Lianna Londsdale,143,6
896-30-8565,830,Winnah Puxley,186,39
569-50-3146,482,Arleta Raunds,272,24
450-97-5848,311,Zena Tiernan,136,16
433-02-9762,627,Milton Drohan,231,1
439-61-8829,755,Yvor Dy,195,13
207-85-4981,309,Ricard Lattimer,111,91
092-63-9551,627,Rania Davidovicz,205,31
614-80-4271,324,Case McKevitt,120,19
321-08-2310,339,Siobhan Manoch,283,21
570-82-6664,338,Roma Brenneke,148,58
423-30-6225,748,Albrecht Gaunson,299,62
453-29-2541,767,Reinaldos Clementel,134,4
636-85-7460,310,Kennedy Olyet,143,48
852-75-2000,727,Terence Faltin,281,53
835-54-3181,323,Aurel Hallgarth,216,75
536-69-1805,318,Cristina Collumbine,105,56
785-73-7908,449,Renard Jopson,197,88
147-77-4224,842,Charlotta Marmon,135,76
688-18-8705,622,De witt Winsley,236,26
676-95-0665,526,Brose Cock,173,36
129-59-4035,756,Rory Karlqvist,282,37
